question,answer
Apakah normal saat belajar membuat pemrograman tapi masih melihat dan meniru program orang lain ?,"Sangat wajar. Tapi ketika melihat code program orang lain, niatkan juga untuk memahami flow dan logika dari program tersebut. Modifikasi code yang kita tiru/copas tersebut sesuai dengan case kita. Jangan asal lihat dan copas. Dunia kerja juga sama akan seperti itu. Kita pasti akan butuh untuk berkolaborasi dengan orang lain, atau melanjutkan code program dari orang lain. Dan tentu saat melakukan itu, kita pasti harus melihat dan berupaya untuk memahami flow code program itu."
Apa metode yang digunakan untuk memecahkan masalah dalam pemrograman?,"Saya menyebutnya 'nyari kutu'. Apalagi kalo codebase sangat besar. Feelnya seperti mencari jarum di tumpukan jerami. Tapi kalo udah ketemu solusinya, beuuuuh… Disinilah munculnya momen satisfying ketika menjadi programmer. Bener-bener farming dopamine."
Apa itu API pada pemrograman?,"API (Application Programming Interface) adalah suatu cara supaya dua aplikasi/service bisa saling berkomunikasi dan berinteraksi. Kita bisa membayangkan sebuah restoran untuk penganalogian API. Kita samakan persepsi dulu bahwa restoran terdapat dua area, yaitu area makan (depan), dan area dapur (belakang). Area depan tempat kita makan atau sekedar menunggu makanan, area belakang tempat semua proses makanan dilakukan. Pengkategorian dua area ini menjadi sangat penting karena bisa dibilang kata kunci untuk memahami konsep API adalah adanya dua area yang terpisah. Misal kita mau makan di restoran, tentu kita tidak bisa langsung masuk ke dalam area dapur untuk membuat atau melihat proses pembuatan makanan tersebut. Karena kita tidak punya akses untuk masuk kesana dan kita hanya pelanggan biasa. Yang bisa kita lakukan adalah pergi ke kasir, lakukan pemesanan makanan, dan tunggu beberapa momen hingga sang pelayan menghidangkan makanan yang sudah kita pesan di meja makan kita. Dan tujuan kita untuk menyantap makanan pun terpenuhi. Ilustrasi memesan makanan tersebut sudah cukup untuk kita memahami apa itu API, baik secara konsep maupun fungsinya. Sekarang masuk ke contoh. Di dalam dunia web development, terdapat yang namanya Restful API. Seperti yang sudah disinggung tadi bahwa API ada jika terdapat dua area yang terpisah, maka dalam konteks web development dua area yang terpisah itu adalah client dan server. Client adalah tempat dimana kita mengakses halaman web tersebut, yang dalam konteks ini adalah browser, sedangkan server adalah tempat di luar client yang mana fungsinya untuk menyimpan data. Di server juga terdapat database. Sebagai contoh, jika kita mengupvote sebuah jawaban di Quora, sebenarnya kita kan juga ingin data yang ada di database Quora juga ikut berubah sesuai dengan jawaban mana yang kita upvote. Maka disinilah peran Restful API sebagai penghubung antara client dan server. Jadi si server menyediakan endpoint atau alamat untuk action apa saja yang sekiranya ada di aplikasi Quora. Jadi action seperti upvote, downvote, menambah jawaban, menambah komentar, itu sudah ada endpointnya tersendiri. Dari sisi client tinggal melakukan http request ke endpoint tersebut. Jadi disinilah timbal balik antara Frontend dan Backend terjadi. Backend membuat endpoint, Frontend mengakses endpoint ketika ada trigger dari user. Contoh API yang lain adalah API References yang biasanya ada pada sebuah library. Ia tidak menggunakan http request seperti Restful API, tapi konsepnya sama, yaitu sebagai penghubung antara dua area. Area yang mana? Ringkasnya API Reference adalah sekumpulan method/function yang bisa kita panggil agar fungsionalitas dari library tersebut bisa kita gunakan di dalam aplikasi kita tanpa kita pedulikan bagaimana logic dan proses dari fungsionalitas tersebut (karena kita menggunakan library supaya pekerjaan kita jadi cepat). That's it, disinilah letaknya dua area tersebut. Aplikasi kita dan si library."
Bagaimana kamu menjelaskan pembelajaran mesin (machine learning) dalam bahasa yang sederhana?,"Bayangkan bayi yang baru lahir yang masih polos dan belum terinstall konsep apapun dalam pikirannya. Ia belum tahu apa itu sekolah, apa itu makan, apa itu bermain, apa itu warna dan konsep lainnya. Seiring bertumbuhnya usia, ia mulai mengetahui sedikit demi sedikit tentang apa yang ada dalam kehidupan ini. Ia mengetahui itu semua dari pengalaman dan tentunya dari lingkungan sekitar. Konsep dalam kepalanya perlahan tumbuh. Ia mulai bisa menyebutkan benda-benda di sekitarnya dengan tepat. Kemampuan kognitifnya mulai meningkat dan ia mulai bisa memanfaatkan apa yang ia punya untuk survive dan bermanfaat di kehidupan ini. Ilustrasi diatas akan berguna jika kita mau memahami cara kerja Machine Learning. Machine Learning konsepnya adalah mengajari komputer dengan data. Data ini isinya input beserta dengan outputnya. Misalkan kita mempunyai data seperti di bawah ini.Bayangkan komputer itu seperti bayi polos yang sudah diilustrasikan di awal tulisan. Disini kita mengajari komputer dengan beberapa data (konsep). di input pertama, kita mengajari komputer dengan gambar lingkaran atas bawah, yang kemudian dikenal dengan angka delapan. Di input kedua kita mengajari hal yang sama meski dengan sedikit perbedaan di gambarnya, begitu juga dengan input ke tiga dan seterusnya. Komputer pun mengerti ""Oh kalo ada gambar dengan bentuk lingkaran atas bawah berarti itu adalah angka delapan"". Lalu terdapat input seperti ini.Komputer pun bingung karena gambar ini belum pernah ia temui sebelumnya. Ia pun berkesimpulan ""Oh ini bukan angka delapan, karena bentuknya beda dengan yang dipelajari sebelumnya (Ingat komputer belum mengenal konsep 'dua'. Karena emang belum diajari. Ingat dengan ilustrasi bayi diawal)"". Contoh lain implementasi Machine Learning yang cukup populer adalah youtube recomendation. Bayangkan ada user yang baru daftar youtube sebut saja A. Karena ini user baru, sistem youtube belum mengenal behavior dari A ini. Konten pertama yang A tonton adalah tentang balapan motogp. Tidak tanggung-tanggung, ia melihat 3 konten langsung tentang balapan motogp. Machine Learning dari youtube pun mulai bekerja dengan menyimpulkan ""Oh si A ini tertarik dengan motogp, maka aku akan menyuguhkan konten motogp kepadanya supaya ia bisa betah di tempatku"". Balik lagi ke ilustrasi awal tadi. Machine Learning, untuk solving problem itu belajar dari data. Sama seperti manusia. Manusia solving problem belajar berdasarkan pengalaman dan informasi yang ia peroleh di masa lalu. Hal yang harus dipahami, untuk memahami Machine Learning adalah menyadari bahwa siklus komputer itu sama seperti siklus manusia. Komputer ini awalnya adalah benda polos yang tidak tau apa-apa, sebelum ia terinstall dengan berbagai program yang membantu ia untuk solving problem."
Bisakah kamu membagikan kode program dalam bahasa apapun yang menampilkan semua bilangan genap di bawah 1000 tanpa menggunakan digit angka apapun di kode programnya?,"Menggunakan javascriptfunction getNum(str) {     return str       .split('')       .map((_) => _.charCodeAt(''.length))       .reduce((_, __) => _ - __); }  const dua = getNum('(&'); const tiga = getNum('.+'); const sepuluh = (tiga + dua) * dua; const seratus = sepuluh * sepuluh; const seribu = seratus * sepuluh; const nol = dua - dua;  for (let i = nol; i < seribu; i++) {     if (i % dua === nol) {          console.log(i);      } } Saya membuat sebuah function getNum untuk generate angka 2 dan 3. Kenapa angka 2 dan 3?. Selain karena angkanya yang kecil, saya pikir dari kedua angka tersebut kita bisa meng-crafting angka berapa saja yang kita mau. Implementasinya bisa dilihat di kode saya line 8 - 13. Oh iya untuk outputnya bisa dilihat di bawah ini."
Dapatkah kamu membagikan sebuah program sederhana yang menampilkan nama lengkapmu tanpa bisa dibaca secara langsung untaian alfabetnya di dalam kode sumber programnya?,"Pingin ikutan juga menggunakan Typescriptfunction getName(arr: number[]): string {     let name = '';     for(let i = 0; i < arr.length; i++){         name += String.fromCharCode(arr[i])     }     return name; }  console.log(     `Nama saya : ${getName([         77, 117, 104, 97, 109, 109, 97, 100, 32, 82, 105, 100, 119, 97, 110,     ])}` ); Output :"
Mengapa Java dianggap sebagai bahasa pemrograman yang sulit?,"Karena paradigma pemrogramannya yang langsung Object Oriented Programming (OOP). OOP adalah paradigma pemrograman yang mana melihat kode program itu ke dalam sebuah object. FYI OOP adalah konsep yang bisa dibilang cukup advance buat dipelajari buat pemula. Untuk memahami OOP, kita harus paham dulu tentang paradigma procedural dan functional programming. Di OOP banyak konsep yang harus dipahami seperti class, property, method, constructor, abstract, inheritance dan konsep lainnya. Karena alasan tersebut, orang yang baru belajar programming biasanya memilih Python atau JavaScript sebagai bahasa pertama mereka alih-alih Java."
"Apa hubungan matematika dan pemrograman? Mengapa banyak orang yang bilang ""jika ingin jago ngoding harus bisa matematika""?","Matematika dan programming akarnya sama yaitu logika. Kesamaan lainnya yaitu matematika dan programming itu sama-sama problem solving dan berorientasi detail dan analytical. Programming adalah hal yang baru di era modern saat ini. Bahkan mungkin kita menerima hal yang berbau programming ini ketika kita SMA atau kuliah. Jadi untuk belajar programming di usia tersebut, otomatis kita perlu yang namanya pegangan untuk dijadikan acuan. Dan pegangan yang sangat make sense adalah matematika. Kenapa matematika? Matematika sudah kita cicipi dari sejak kita SD. Disini kita sudah pernah disodori soal matematika yang sederhana hingga yang kompleks. sebenarnya orang yang suka ngerjain dan ngulik soal-soal matematika, sebenarnya ia sudah membentuk mental sebagai seorang problem solver, yang mana hal itu sangat dibutuhkan di dunia programming. Saat ngerjain soal matematika di sekolah, kita memikirkan dan mencari solusi dari suatu problem di secarik kertas. Di programming kita melakukan hal yang sama, cuma bedanya kita menulisnya di text editor. Kita melakukan hal yang sama, cuma objeknya yang berbeda. Sehingga sangat make sense untuk menjadikan matematika sebagai pegangan ketika kita buta akan programming. Dan akhir kata sekaligus opini pribadi dari saya, Untuk belajar programming, kita tidak harus jago matematika. Tapi matematika membantu dan membetuk mental dan pola pikir kita sebagai programmer."
Mengapa matematika begitu sulit dipahami?,"Alasan kenapa banyak orang yang menganggap matematika sulit karena ketika belajar matematika, kita tidak mengaitkan konsep matematika ke dalam kehidupan nyata. Padahal matematika itu butuh konteks supaya bisa dipahami. Contohnya kenapa banyak orang yang hanya bisa penjumlahan, pengurangan, perkalian, dan pembagian? Karena ia sudah terbiasa melakukannya di kehidupan sehari-hari. Contohnya adalah penggunan uang. Saat membeli sesuatu terus dapat kembalian, saat membayar cicilan, atau saat membayar hutang, itu sudah menerapkan konsep matematika bukan? Karena sudah terbiasa dengan hal itu, konsep matematika tersebut bisa nempel di otak kita. Contoh lain adalah kenapa sebagian orang menganggap geometri itu menakutkan? Karena ia tidak mengingimajinasikan geometri di konteks kehidupan nyata. Contohnya orang tidak akan paham konsep luas persegi panjang jika ia tidak membayangkan luas lapangan bola. . Bahkan ada cerita dari teman-teman programmer yang semasa sekolah, ia tidak paham matematika, tapi setelah belajar programming, ia malah paham dan suka matematika.Metode pembelajaran seperti diatas adalah metode Contextual Learning, yaitu metode untuk mengaitkan apa yang sudah dipelajari ke dalam kehidupan nyata. Metode itu digunakan untuk membantu kinerja otak karena otak mempunyai kecenderungan ia hanya bisa mengingat sesuatu yang ber""makna"" buat kita."
Apakah seseorang yang belum pernah belajar JavaScript bisa langsung mempelajari React yang juga pustaka dari JavaScript itu sendiri?,"Kalo dari saya pribadi, jika belum punya pengalaman Javascript sebelumnya tapi sudah tahu tentang konsep-konsep pemrograman seperti looping, conditional, array, dan function. Sebaiknya belajar HTML sama CSS dulu. Baru belajar React, sekalian dengan JavaScriptnya. Prosesnya bisa dimulai dari belajar konsep React seperti JSX, tapi juga dibarengi belajar es6 seperti destructuring, spread operator, arrow function, promise dan konsep es6 yang lain. Jadi mengimplementasikan teknik learning by doing untuk mencegah kebosanan ketika belajar. Tapi jika belum memiliki dasar pemrograman, saran saya lebih baik belajar dasar pemrograman terlebih dahulu."
